StudyID,AgeGroups_1,AgeGroups_2,AgeGroups_3,AgeGroups_4,Age,Gender,Gender_4_TEXT,Latin_0,Latin_888,Latin_1,Latin_2,Latin_3,Latin_4,Latin_5,Latin_6,Latin_7,Latin_8,Latin_9,Latin_10,Latin_11,Latin_12,Latin_13,Latin_14,Latin_15,Latin_16,Latin_17,Latin_18,Latin_19,Latin_20,Latin_21,Latin_22,Latin_23,Latin_24,Latin_25,Latin_26,Latin_27,Latin_28,Latin_29,Latin_30,Latin_31,Latin_32,Latin_33,Latin_34,Latin_35,Latin_36,Latin_37,Latin_38,Latin_39,Latin_40,Latin_41,Latin_999,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,Race_8,Race_9,Race_10,Race_11,Race_12,Race_13,Race_14,Race_15,Race_16,Race_17,Race_18,Race_19,Race_20,Race_21,Race_22,Race_23,Race_24,Race_999,Immigrant,Refugee,Community,Community_6_TEXT,School,Income,Country,State,COPE_01_Positive,COPE_02_MentalDis,COPE_03_Venting,COPE_04_InstrumentalSup,COPE_05_Active,COPE_06_Denial,COPE_07_Religious,COPE_08_Humor,COPE_09_BehavioralDis,COPE_10_Restraint,COPE_11_EmotionalSup,COPE_12_Substance,COPE_13_Acceptance,COPE_14_InstrumentalSup,COPE_15_Suppression,COPE_16_MentalDis,COPE_17_Venting,COPE_18_Religious,COPE_19_Planning,COPE_20_Humor,COPE_21_Acceptance,COPE_22_Restraint,COPE_23_EmotionalSup,COPE_24_BehavioralDis,COPE_25_Active,COPE_26_Substance,COPE_27_Denial,COPE_28_Venting,COPE_29_Positive,COPE_30_InstrumentalSup,COPE_31_MentalDis,COPE_32_Planning,COPE_33_Suppression,COPE_34_EmotionalSup,COPE_35_Substance,COPE_36_Humor,COPE_37_BehavioralDis,COPE_38_Positive,COPE_39_Planning,COPE_40_Denial,COPE_41_Restraint,COPE_42_Suppression,COPE_43_MentalDis,Instructed_1,COPE_44_Acceptance,COPE_45_InstrumentalSup,COPE_46_Venting,COPE_47_Active,COPE_48_Religious,COPE_49_Restraint,COPE_50_Humor,COPE_51_BehavioralDis,COPE_52_EmotionalSup,COPE_53_Substance,COPE_54_Acceptance,COPE_55_Suppression,COPE_56_Planning,COPE_57_Denial,COPE_58_Active,COPE_59_Positive,COPE_60_Religious,CFS_01_JB,CFS_02_JB,CFS_03_ST,CFS_04_JB,CFS_05_ST,CFS_06_JB,CFS_07_JB,CFS_08_ST,Instructed_2,CFS_09_JB,CFS_10_ST,CFS_11_JB,CFS_12_ST,CFS_13_JB,COPE_Positive,COPE_MentalDis,COPE_Venting,COPE_InstrumentalSup,COPE_Active,COPE_Denial,COPE_Religious,COPE_Humor,COPE_BehavioralDis,COPE_Restraint,COPE_EmotionalSup,COPE_Substance,COPE_Acceptance,COPE_Suppression,COPE_Planning,CFS,CFS_SecondaryTrauma,CFS_JobBurnout,CFS_ln,CFS_SecondaryTrauma_ln,CFS_JobBurnout_ln
21, ,1,1, ,35,3, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,1, ,8,4,187,51,4,3,1,3,4,1,3,3,1,4,4,4,2,4,1,2,4,4,3,4,1,4,4,2,4,4,4,3,1,2,4,4,2,2,4,4,4,2,3,4,3,3,4,4,1,2,4,4,4,3,2,2,3,4,2,3,3,3,3,2,3,8,10,10,9,9,8,3,8,11,3,5,2,3,1,9,13,12,11,15,12,14,13,9,14,13,12,6,9,14,6.07692307692308,7,5.5,1.80449849500548,1.94591014905531,1.70474809223843
22, ,1,1, ,46,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,3, ,8,7,163, ,4,4,3,3,4,1,2,3,1,3,3,1,4,3,2,2,3,1,4,3,3,2,2,1,4,1,1,4,4,4,2,3,2,2,1,2,1,3,4,1,3,2,3,4,4,3,2,4,2,3,2,1,3,1,3,3,4,1,3,4,2,4,3,2,4,1,2,1,1,11,2,1,2,1,1,15,11,12,13,15,4,7,10,4,11,10,4,14,9,14,1.92307692307692,1.2,2.375,.653926467406664,.182321556793955,.864997437486605
23, ,1,1, ,29,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,3, ,8,6,187,22,4,3,4,2,4,1,1,4,3,2,4,2,3,3,3,3,4,1,3,4,3,2,4,1,4,2,2,4,3,3,4,3,3,4,2,4,2,3,3,1,1,2,4,4,3,3,2,3,1,1,4,3,4,2,3,3,3,2,2,3,1,8,4,7,3,7,8,9,6,11,9,7,5,2,6,13,14,14,11,13,6,4,16,9,6,16,8,12,11,12,6.23076923076923,5.8,6.5,1.8294997972109,1.75785791755237,1.87180217690159
24, , ,1,1,33,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,0,0,3, ,7,3,156, ,4,1,2,1,4,1,1,2,2,2,4,1,4,4,1,2,4,1,2,2,2,3,3,2,2,1,1,2,3,3,3,3,2,4,1,2,2,4,4,2,2,3,2,5,4,4,4,3,3,4,2,2,4,1,4,3,3,2,3,3,1,2,3,3,3,2,3,2,2,13,1,2,2,1,1,14,8,12,12,12,6,6,8,8,11,15,4,14,9,13,2.07692307692308,2,2.125,.730887508542792,.693147180559945,.75377180237638
25, , ,1, ,49,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,2, ,8,6,9, ,3,4,2,3,3,1,1,2,4,2,3,1,3,2,2,2,3,1,3,1,4,2,1,1,3,1,1,2,1,2,1,4,2,2,1,1,1,2,4,1,3,3,3,5,4,3,1,3,1,1,1,4,2,1,3,1,3,1,3,3,1,10,4,2,2,1,1,7,2,11,2,1,5,1,1,9,10,8,10,12,4,4,5,10,8,8,4,14,8,15,3,1.4,4,1.09861228866811,.336472236621213,1.38629436111989
26, ,1,1, ,53,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,2, ,7,3,187,15,4,3,3,2,3,1,4,2,1,3,2,1,2,2,4,3,2,4,4,3,3,3,3,1,1,1,2,3,4,4,1,3,3,3,1,2,1,4,4,1,2,2,2,4,4,3,2,2,4,4,2,2,3,1,2,2,4,1,4,4,4,1,5,4,1,3,2,8,6,11,2,2,2,1,1,16,9,10,11,10,5,16,9,5,12,11,4,11,11,14,2.92307692307692,3.2,2.75,1.07263680226485,1.16315080980568,1.01160091167848
27, , ,1,1,28,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,2, ,8,3,187,26,4,2,4,3,4,1,1,2,2,1,4,1,3,4,3,2,4,1,4,2,3,4,4,2,4,1,1,4,4,4,3,3,3,3,1,2,2,4,4,1,3,4,3,4,3,4,4,4,1,3,1,2,4,1,4,3,4,1,4,4,1,8,8,3,1,4,9,10,10,11,10,6,3,1,3,16,10,16,15,16,4,4,7,8,11,15,4,13,13,14,5.84615384615385,4.8,6.5,1.76578398282479,1.56861591791385,1.87180217690159
28, , ,1, ,35,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1,0,3, ,8,5,187,5,3,4,2,4,2,1,1,1,1,1,4,2,1,3,2,3,4,1,2,1,1,1,3,2,2,2,1,3,4,3,4,3,1,3,2,1,2,4,4,1,1,2,4,4,4,4,4,2,1,1,1,3,4,2,3,3,3,1,3,4,1,10,10,8,2,1,9,10,7,11,10,10,5,1,7,15,15,13,14,9,4,4,4,8,4,14,8,9,8,13,6.92307692307692,5.4,7.875,1.93486031286873,1.68639895357023,2.0636931847117
29, ,1, , ,49,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,4, ,8,7,187,34,4,3,1,3,4,1,3,1,3,4,2,1,3,4,3,2,2,3,4,1,4,3,3,1,2,1,1,2,3,4,1,4,3,1,1,1,1,3,4,1,4,3,2,5,4,3,1,2,2,3,1,1,3,1,2,3,4,1,3,4,2,1,3,1,1,1,1,3,2,21,2,1,2,1,1,14,8,6,14,11,4,10,4,6,14,9,4,13,12,16,1.53846153846154,1.2,1.75,.430782916092454,.182321556793955,.559615787935423
30, ,1, , ,52,1, , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,0,0,3, ,7,3,122, ,4,3,3,4,4,2,1,3,1,3,4,1,4,3,3,2,2,1,4,3,3,2,3,1,2,1,1,3,3,3,1,4,3,3,1,3,1,4,4,1,2,2,3,4,4,3,2,2,3,3,3,1,3,1,3,2,3,2,4,4,2,8,7,2,2,7,6,7,7,11,7,7,5,7,3,15,9,10,13,12,6,7,12,4,10,13,4,14,10,15,5.76923076923077,6,5.625,1.75253875607477,1.79175946922805,1.72722094809048
